id,symbol,name,categories,circulation_supply,total_supply,market_cap_rank,exchange,crypto_pair(usd)
agenda-47,a47,AGENDA 47,"['Solana Ecosystem', 'Meme', 'Pump.fun Ecosystem']",999992035.303715,999992035.303715,1113,Raydium,CN162NCPPQ3DXPCYKLBAVEJEB1ACXSNVTEG4ZU8VPUMP/SO11111111111111111111111111111111111111112
agentfun-ai,agentfun,AgentFun.AI,"['Meme', 'Cronos Ecosystem', 'AI Meme', 'Cronos zkEVM Ecosystem']",100000000.0,100000000.0,258,VVS Finance,0X96733708C4157218B6E6889EB9E16B1DF7873061/0X5C7F8A570D578ED84E63FDFA7B1EE72DEAE1AE23
ageur,eura,EURA,"['Stablecoins', 'EUR Stablecoin', 'BNB Chain Ecosystem', 'Polygon Ecosystem', 'Gnosis Chain Ecosystem', 'Arbitrum Ecosystem', 'Celo Ecosystem', 'Ethereum Ecosystem', 'Base Ecosystem', 'Crypto-backed Stablecoin']",18751607.36288739,18751607.36288739,1017,Uniswap V3 (Ethereum),0X0000206329B97DB379D5E1BF586BBDB969C63274/0X1A7E4E63778B4F12A199C062F3EFDD288AFCBCE8
agixt,agixt,AGiXT,"['Artificial Intelligence (AI)', 'Solana Ecosystem', 'Pump.fun Ecosystem', 'AI Framework']",999999837.38,999999837.38,1454,XT.COM,AGIXT/USDT
agoric,bld,Agoric,"['Smart Contract Platform', 'Layer 1 (L1)', 'Osmosis Ecosystem', 'Proof of Stake (PoS)', 'Cross-chain Communication', 'Archway Ecosystem', 'Secret Ecosystem', 'Outlier Ventures Portfolio', 'Made in USA']",676694392.84104,1073101297.28249,1023,HTX,BLD/USDT
agoras-currency-of-tau,agrs,Agoras: Tau Net,"['Artificial Intelligence (AI)', 'Smart Contract Platform', 'Ethereum Ecosystem']",18000000.0,42000000.0,1442,MEXC,AGRS/USDT
ahatoken,aht,AhaToken,['Meme'],6221540768.48106,7730764631.06281,967,Upbit,AHT/KRW
a-hunters-dream,caw,A Hunters Dream,"['SocialFi', 'Ethereum Ecosystem']",636666666666666.0,666666666666666.0,828,LBank,CAW/USDT
agora-dollar,ausd,AUSD,"['Stablecoins', 'USD Stablecoin', 'Solana Ecosystem', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'Sui Ecosystem', 'Injective Ecosystem', 'Fiat-backed Stablecoin']",11244684.003551,11244684.003551,1375,LFJ V2.2 (Avalanche),0X00000000EFE302BEAA2B3E6E1B18D08D69A9012A/0X9702230A8EA53601F5CD2DC00FDBC13D4DF4A8C7
ai16z,ai16z,ai16z,"['Artificial Intelligence (AI)', 'Solana Ecosystem', 'Meme', 'Solana Meme', 'AI Meme', 'AI Agents', 'Binance Alpha Spotlight', 'AI Framework', 'Made in USA']",1099998746.190372,1099998746.190372,306,Gate.io,AI16Z/USDT
ai-analysis-token,aiat,AI Analysis Token,['Ethereum Ecosystem'],110347623.6743895,500000000.0,562,CoinW,AIAT/USDT
ai-companions,aic,AI Companions,"['BNB Chain Ecosystem', 'Meme', 'AI Meme']",1000000000.0,1000000000.0,288,MEXC,AIC/USDT
aioz-network,aioz,AIOZ Network,"['Artificial Intelligence (AI)', 'Smart Contract Platform', 'Storage', 'BNB Chain Ecosystem', 'Layer 1 (L1)', 'Ethereum Ecosystem', 'DePIN', 'DWF Labs Portfolio', 'Osmosis Ecosystem', 'GMCI DePIN Index', 'GMCI Index']",1166600172.747093,1167412393.028662,218,Gate.io,AIOZ/USDT
ai-rig-complex,arc,AI Rig Complex,"['Artificial Intelligence (AI)', 'Infrastructure', 'Solana Ecosystem', 'Meme', 'AI Agents', 'Pump.fun Ecosystem', 'AI Agent Launchpad', 'Binance Alpha Spotlight', 'AI Framework']",999995007.418058,999995007.418058,691,LBank,ARC/USDT
airswap,ast,AirSwap,"['Decentralized Exchange (DEX)', 'Exchange-based Tokens', 'Decentralized Finance (DeFi)', 'Ethereum Ecosystem']",207669874.1227,500000000.0,1772,Coinbase Exchange,AST/USD
airtor-protocol,anyone,ANyONe Protocol,"['Smart Contract Platform', 'Ethereum Ecosystem', 'DePIN', 'Privacy Blockchain']",79937689.60971649,100000000.0,920,MEXC,ANYONE/USDT
aixbt,aixbt,aixbt by Virtuals,"['Solana Ecosystem', 'Meme', 'Base Ecosystem', 'AI Meme', 'AI Agents', 'Virtuals Protocol Ecosystem', 'Binance Alpha Spotlight', 'DeFAI']",855612732.0,1000000000.0,504,Gate.io,AIXBT/USDT
akash-network,akt,Akash Network,"['Artificial Intelligence (AI)', 'Smart Contract Platform', 'DePIN', 'Osmosis Ecosystem', 'Proof of Stake (PoS)', 'Archway Ecosystem', 'Made in USA']",247443076.710739,248288195.807791,210,HTX,AKT/USDT
aki-protocol,aki,Aki Network,"['Polygon Ecosystem', 'Meme', 'AI Meme']",1686624980.885363,2000000000.0,1019,Bybit,AKI/USDT
alchemist-ai,alch,Alchemist AI,"['Artificial Intelligence (AI)', 'Solana Ecosystem', 'Meme', 'Pump.fun Ecosystem', 'AI Applications', 'Binance Alpha Spotlight']",850000000.0,999986440.118345,534,Bybit,ALCH/USDT
alchemix-usd,alusd,Alchemix USD,"['Stablecoins', 'Decentralized Finance (DeFi)', 'USD Stablecoin', 'Fantom Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Optimism Ecosystem', 'Algorithmic Stablecoin', 'Fiat-backed Stablecoin']",15705641.95011059,15705641.95011059,1182,Velodrome Finance V2 (Optimism),0X4200000000000000000000000000000000000042/0XCB8FA9A76B8E203D8C3797BF438D8FB81EA3326A
alchemy-pay,ach,Alchemy Pay,"['BNB Chain Ecosystem', 'Ethereum Ecosystem', 'Payment Solutions', 'DWF Labs Portfolio']",4943691067.145604,9999999999.999987,390,Binance,ACH/USDT
alchemix,alcx,Alchemix,"['Decentralized Finance (DeFi)', 'Yield Farming', 'Lending/Borrowing Protocols', 'Near Protocol Ecosystem', 'Olympus Pro Ecosystem', 'Ethereum Ecosystem', 'eGirl Capital Portfolio', 'Alameda Research Portfolio', 'Delphi Ventures Portfolio']",2399498.7771367854,3026800.565945103,1024,Binance,ALCX/USDT
aleph,aleph,Aleph.im,"['Artificial Intelligence (AI)', 'Infrastructure', 'Storage', 'BNB Chain Ecosystem', 'Avalanche Ecosystem', 'Ethereum Ecosystem', 'DePIN', 'Base Ecosystem', 'FTX Holdings', 'Alameda Research Portfolio']",186431941.41027194,500000000.0,1392,MEXC,ALEPH/USDT
aleo,aleo,ALEO,"['Smart Contract Platform', 'Layer 1 (L1)', 'Zero Knowledge (ZK)', 'Andreessen Horowitz (a16z) Portfolio', 'Privacy Blockchain', 'Made in USA']",360740233.817614,1703260222.096328,537,Gate.io,ALEO/USDT
alephium,alph,Alephium,"['Smart Contract Platform', 'BNB Chain Ecosystem', 'Layer 1 (L1)', 'Wallets', 'Ethereum Ecosystem', 'Alephium Ecosystem', 'Proof of Work (PoW)']",106952276.4139092,209276619.8541942,790,MEXC,ALPH/USDT
aleph-zero,azero,Aleph Zero,"['Smart Contract Platform', 'Layer 1 (L1)', 'Layer 2 (L2)', 'Zero Knowledge (ZK)', 'Rollup', 'Proof of Stake (PoS)', 'Privacy Blockchain']",302314000.0,520000000.0,847,MEXC,AZERO/USDT
alethea-artificial-liquid-intelligence-token,ali,Artificial Liquid Intelligence,"['Artificial Intelligence (AI)', 'NFT', 'Metaverse', 'Solana Ecosystem', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'Cronos Ecosystem', 'Base Ecosystem', 'Multicoin Capital Portfolio', 'AI Agents', 'Alameda Research Portfolio', 'DeFiance Capital Portfolio', 'YZi Labs (Prev. Binance Labs) Portfolio']",8189833601.855413,9870903732.0,578,HTX,ALI/USDT
algorand,algo,Algorand,"['Smart Contract Platform', 'Layer 1 (L1)', 'Algorand Ecosystem', 'Real World Assets (RWA)', 'Alleged SEC Securities', 'DWF Labs Portfolio', 'Multicoin Capital Portfolio', 'Proof of Stake (PoS)', 'GMCI Layer 1 Index', 'GMCI Index', 'Made in USA', 'Coinbase 50 Index']",8535564882.22836,8555701391.808632,67,Gate.io,ALGO/USDT
alexgo,alex,ALEX Lab,"['Decentralized Finance (DeFi)', 'Lending/Borrowing Protocols', 'Ethereum Ecosystem', 'DWF Labs Portfolio', 'Mode Ecosystem', 'Stacks Ecosystem', 'BTCfi']",827531707.8467592,1000000000.0,727,ALEX,ALEX/STX
alien-worlds,tlm,Alien Worlds,"['Gaming (GameFi)', 'NFT', 'BNB Chain Ecosystem', 'Binance Launchpool', 'Play To Earn', 'Ethereum Ecosystem', 'Animoca Brands Portfolio', 'Card Games', 'Gaming Governance Token', 'YZi Labs (Prev. Binance Labs) Portfolio', 'Wax Ecosystem', 'MMO']",5769956674.267,6655766027.5565,900,Binance,TLM/TRY
alkimi,$ads,Alkimi,"['Marketing', 'Ethereum Ecosystem']",192114136.07490656,250000000.0,1090,KuCoin,ADS/USDT
alienbase,alb,Alien Base,"['Decentralized Exchange (DEX)', 'Decentralized Finance (DeFi)', 'Base Ecosystem']",163690515.9747451,383342721.2123865,1536,Alien Base,0X1DD2D631C92B1ACDFCDD51A0F7145A50130050C4/0X4200000000000000000000000000000000000006
allianceblock-nexera,nxra,Nexera,"['BNB Chain Ecosystem', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'Real World Assets (RWA)']",913335442.0,2000000000.0,1465,KuCoin,NXRA/USDT
alpaca-finance,alpaca,Alpaca Finance,"['Decentralized Finance (DeFi)', 'Yield Farming', 'BNB Chain Ecosystem', 'Yield Aggregator', 'Lending/Borrowing Protocols', 'Fantom Ecosystem']",150708745.6027096,150708745.6027096,1684,Hotcoin,ALPACA/USDT
alpha-finance,alpha,Stella,"['Decentralized Finance (DeFi)', 'Yield Farming', 'BNB Chain Ecosystem', 'Binance Launchpool', 'Yield Aggregator', 'Avalanche Ecosystem', 'Ethereum Ecosystem', 'Binance Launchpad', 'Multicoin Capital Portfolio', 'Alameda Research Portfolio', 'DeFiance Capital Portfolio', 'Energi Ecosystem', 'YZi Labs (Prev. Binance Labs) Portfolio', 'Delphi Ventures Portfolio']",922000000.0,1000000000.0,839,Hotcoin,ALPHA/USDT
alpha-fi,alpha,Alpha Fi,['Sui Ecosystem'],9929433.10763889,10000000.0,1274,Bluefin,0XFE3AFEC26C59E874F3C1D60B8203CB3852D2BB2AA415DF9548B8D688E6683F93::ALPHA::ALPHA/0XD1B72982E40348D069BB1FF701E634C117BB5F741F44DFF91E472D3B01461E55::STSUI::STSUI
alpha-quark-token,aqt,Alpha Quark,"['NFT', 'Ethereum Ecosystem', 'NFTFi', 'NFT Lending/Borrowing']",26806201.0,30000000.0,912,Upbit,AQT/KRW
alpine-f1-team-fan-token,alpine,Alpine F1 Team Fan Token,"['BNB Chain Ecosystem', 'Binance Launchpad']",11360000.0,40000000.0,1544,Hotcoin,ALPINE/USDT
altered-state-token,asto,Altered State Machine,"['Artificial Intelligence (AI)', 'Gaming (GameFi)', 'NFT', 'Metaverse', 'Ethereum Ecosystem', 'Animoca Brands Portfolio', 'Coinbase Ventures Portfolio', 'Gaming Governance Token', 'Gaming Utility Token', 'AI Agents', 'Delphi Ventures Portfolio', 'AI Applications', 'Outlier Ventures Portfolio']",816193967.2351687,2384000000.0,1625,MEXC,ASTO/USDT
altlayer,alt,AltLayer,"['Smart Contract Platform', 'BNB Chain Ecosystem', 'Binance Launchpool', 'Ethereum Ecosystem', 'Layer 2 (L2)', 'Restaking', 'Rollups-as-a-Service (RaaS)', 'Rollup', 'YZi Labs (Prev. Binance Labs) Portfolio']",3032812498.0,10000000000.0,448,Gate.io,ALT/USDT
alvara-protocol,alva,Alvara Protocol,"['Decentralized Finance (DeFi)', 'Avalanche Ecosystem', 'Ethereum Ecosystem']",52239184.174527965,199247340.0765245,1837,MEXC,ALVA/USDT
amaterasu-omikami,omikami,AMATERASU OMIKAMI,"['Meme', 'Ethereum Ecosystem', 'Dog-Themed']",999592216.6089,999592216.6089,1073,Uniswap V2 (Ethereum),0X9E18D5BAB2FA94A6A95F509ECB38F8F68322ABD3/0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48
ambire-wallet,wallet,Ambire Wallet,"['Wallets', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'Base Ecosystem', 'Account Abstraction']",688149260.7972898,692264621.4210474,1552,HTX,WALLET/USDT
altura,alu,Altura,"['Artificial Intelligence (AI)', 'Infrastructure', 'Gaming (GameFi)', 'NFT', 'BNB Chain Ecosystem', 'NFT Marketplace', 'Base Ecosystem', 'Gaming Platform', 'Made in USA', 'Gaming Marketplace']",990000000.0,990000000.0,740,HTX,ALU/USDT
american-coin,usa,American Coin,"['Solana Ecosystem', 'Meme', 'Solana Meme', 'Parody Meme', 'Country-Themed Meme', 'Murad Picks']",11627237762707.78,11627237762707.78,1512,Raydium,69KDRLYP5DTRKPHRAASZAQBWMAWZF9GUKJZFZMXZCBAS/SO11111111111111111111111111111111111111112
amnis-staked-aptos-coin,stapt,Amnis Staked Aptos Coin,"['Liquid Staking Tokens', 'Aptos Ecosystem', 'Liquid Staking', 'Liquid Staked APT\t']",2016038.3,2016038.3,1379,LiquidSwap V0.5,0X111AE3E5BC816A5E63C2DA97D0AA3886519E0CD5E4B046659FA35796BD11542A::STAPT_TOKEN::STAKEDAPT/0X1::APTOS_COIN::APTOSCOIN
amo,amo,AMO Coin,"['Big Data', 'Kaia Ecosystem']",21200000000.0,21200000000.0,1325,Bithumb,AMO/KRW
ampleforth,ampl,Ampleforth,"['Decentralized Finance (DeFi)', 'Rebase Tokens', 'BNB Chain Ecosystem', 'Avalanche Ecosystem', 'Near Protocol Ecosystem', 'Harmony Ecosystem', 'Ethereum Ecosystem', 'Pantera Capital Portfolio', 'Energi Ecosystem']",38041985.81199386,41409240.1827198,707,Uniswap V2 (Ethereum),0XD46BA6D942050D489DBD938A2C909A5D5039A161/0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2
ampleforth-governance-token,forth,Ampleforth Governance,"['Ethereum Ecosystem', 'Stablecoin Protocol']",11454225.790723708,15297897.14455933,992,OrangeX,FORTH/USDT
amnis-aptos,amapt,Amnis Aptos,"['Liquid Staking Tokens', 'Aptos Ecosystem', 'Liquid Staking']",25203628.7157081,25208967.9349,351,LiquidSwap V0.5,0X111AE3E5BC816A5E63C2DA97D0AA3886519E0CD5E4B046659FA35796BD11542A::AMAPT_TOKEN::AMNISAPT/0X1::APTOS_COIN::APTOSCOIN
amp-token,amp,Amp,"['Decentralized Finance (DeFi)', 'Near Protocol Ecosystem', 'Ethereum Ecosystem', 'Payment Solutions', 'Alleged SEC Securities', 'Pantera Capital Portfolio', 'Energi Ecosystem', 'Made in USA']",84231346590.2867,99669205039.99,197,Binance,AMP/USDT
ami,ami,Amnis Finance,"['Decentralized Finance (DeFi)', 'Liquid Staking Governance Tokens', 'Aptos Ecosystem', 'Liquid Staking']",77805033.00278433,1000000000.0,1728,Bybit,AMI/USDT
ancient8,a8,Ancient8,"['Smart Contract Platform', 'Gaming (GameFi)', 'Play To Earn', 'Guild and Scholarship', 'Ethereum Ecosystem', 'Layer 2 (L2)', 'Gaming Blockchains', 'Pantera Capital Portfolio', 'Ancient8 Ecosystem', 'Optimism Superchain Ecosystem']",266070104.7,1000000000.0,821,Hotcoin,A8/USDT
andy-the-wisguy,andy,ANDY ETH,"['Meme', 'Ethereum Ecosystem', 'The Boy’s Club']",1000000000000.0,1000000000000.0,745,MEXC,ANDYETH/USDT
anime,anime,Animecoin,"['NFT', 'Meme', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Anime-Themed', 'Binance HODLer Airdrops', 'Airdropped Tokens by NFT Projects']",5538604656.0,10000000000.0,420,Binance,ANIME/USDT
ankreth,ankreth,Ankr Staked ETH,"['BNB Chain Ecosystem', 'Avalanche Ecosystem', 'Fantom Ecosystem', 'Arbitrum Ecosystem', 'Liquid Staking Tokens', 'Ethereum Ecosystem', 'Optimism Ecosystem', 'Linea Ecosystem', 'Scroll Ecosystem', 'Blast Ecosystem', 'Mode Ecosystem', 'Polygon zkEVM Ecosystem', 'Liquid Staked ETH', 'Liquid Staking']",10725.40336742948,10725.40336742948,965,THENA FUSION,0XE05A08226C49B636ACF99C40DA8DC6AF83CE5BB3/0X2170ED0880AC9A755FD29B2688956BD959F933F8
ankr,ankr,Ankr Network,"['BNB Chain Ecosystem', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Fantom Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Optimism Ecosystem', 'Liquid Staking Governance Tokens', 'Linea Ecosystem', 'DePIN', 'Scroll Ecosystem', 'Rollups-as-a-Service (RaaS)', 'Blast Ecosystem', 'Mode Ecosystem', 'Pantera Capital Portfolio', 'Polygon zkEVM Ecosystem', 'YZi Labs (Prev. Binance Labs) Portfolio', 'Liquid Staking', 'Made in USA']",10000000000.0,10000000000.0,285,MEXC,ANKR/USDT
anvil,anvl,Anvil,"['Decentralized Finance (DeFi)', 'Ethereum Ecosystem']",18942999350.13549,98667066238.80089,777,Uniswap V2 (Ethereum),0X2CA9242C1810029EFED539F1C60D68B63AD01BFC/0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2
anzen-usdz,usdz,Anzen USDz,"['Stablecoins', 'Ethereum Ecosystem', 'Base Ecosystem', 'Blast Ecosystem', 'Fiat-backed Stablecoin']",127217372.8346066,127217372.8346066,355,Aerodrome SlipStream,0X04D5DDF5F3A8939889F11E97F8C4BB48317F1938/0X833589FCD6EDB6E08F4C7C32D4F71B54BDA02913
ao-computer,ao,ao Computer,"['Artificial Intelligence (AI)', 'Smart Contract Platform', 'DePIN']",3639939.811865,3639939.811865,623,Gate.io,AO/USDT
apecoin,ape,ApeCoin,"['Gaming (GameFi)', 'NFT', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'Animoca Brands Portfolio', 'Gaming Blockchains', 'Gaming Governance Token', 'Gaming Utility Token', 'Andreessen Horowitz (a16z) Portfolio', 'ApeChain Ecosystem', 'Airdropped Tokens by NFT Projects', 'Coinbase 50 Index']",799455492.0,1000000000.0,181,Binance,APE/USDT
apenft,nft,APENFT,"['NFT', 'BNB Chain Ecosystem', 'Ethereum Ecosystem', 'Tron Ecosystem']",990105682877398.0,999990000000000.0,154,HTX,NFT/USDT
apf-coin,apfc,APF coin,"['Tokenized Real Estate', 'Tokenized Assets', 'Ethereum Ecosystem', 'Real World Assets (RWA)', 'RWA Protocol']",170268683.7504873,250000000.0,330,LBank,APFC/USDT
apex-token-2,apex,ApeX,"['Derivatives', 'Perpetuals', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'DragonFly Capital Portfolio']",55824359.0,499999990.0,675,Bybit,APEX/USDT
api3,api3,API3,"['Decentralized Finance (DeFi)', 'Oracle', 'Ethereum Ecosystem', 'DWF Labs Portfolio', 'Pantera Capital Portfolio']",119004150.6010979,147873886.2062491,394,Gate.io,API3/USDT
apollo-diversified-credit-securitize-fund,acred,Apollo Diversified Credit Securitize Fund,"['Solana Ecosystem', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'Aptos Ecosystem', 'Real World Assets (RWA)', 'Ink Ecosystem']",64910.439726,64910.439726,534,,/
apollox-2,apx,APX,"['Decentralized Finance (DeFi)', 'BNB Chain Ecosystem', 'Perpetuals', 'YZi Labs (Prev. Binance Labs) Portfolio', 'Binance Alpha Spotlight']",434585698.45472044,4016263469.0,843,LBank,APX1/USDT
