id,symbol,name,categories,circulation_supply,total_supply,market_cap_rank,exchange,target_coin,crypto_pair,closing_price
across-protocol,acx,Across Protocol,"['Polygon Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Optimism Ecosystem', 'Bridge Governance Tokens', 'Cross-chain Communication', 'Intent', 'Boba Network Ecosystem', 'Blockchain Capital Portfolio', 'Made in USA']",415964763.2164131,1000000000.0,475,BINANCE,tether,ACXUSDT,0.1987
act-i-the-ai-prophecy,act,Act I The AI Prophecy,"['Solana Ecosystem', 'Meme', 'Solana Meme', 'AI Meme', 'Pump.fun Ecosystem']",948245212.0,948245212.0,683,BINANCE,tether,ACTUSDT,0.0515
adappter-token,adp,Adappter,"['Ethereum Ecosystem', 'DWF Labs Portfolio']",4134832902.0,10000000000.0,1680,HUOBI,tether,ADPUSDT,0.001759
adex,adx,AdEx,"['Media', 'Marketing', 'BNB Chain Ecosystem', 'Polygon Ecosystem', 'Ethereum Ecosystem']",147900000.0,150000000.0,1325,BINANCE,tether,ADXUSDT,0.097
adshares,ads,Adshares,"['Business Services', 'Decentralized Finance (DeFi)', 'BNB Chain Ecosystem', 'Metaverse', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'Base Ecosystem']",38735167.73,38758203.0,1132,MEXC,tether,ADSUSDT,0.1094
aelf,elf,aelf,"['Infrastructure', 'Smart Contract Platform', 'BNB Chain Ecosystem', 'Layer 1 (L1)', 'Ethereum Ecosystem', 'GMCI Layer 1 Index', 'Aelf Ecosystem', 'GMCI Index']",739654265.2868464,996446802.9401563,308,MEXC,tether,ELFUSDT,0.2293
aerobud,aerobud,AEROBUD,"['Charity', 'Meme', 'Base Ecosystem', 'Dog-Themed', 'Base Meme', 'Made in USA']",1000000000.0,1000000000.0,1603,MEXC,tether,AEROBUDUSDT,0.01073
aerodrome-finance,aero,Aerodrome Finance,"['Decentralized Exchange (DEX)', 'Decentralized Finance (DeFi)', 'Automated Market Maker (AMM)', 'Base Ecosystem', 'Binance Alpha Spotlight', 'Made in USA']",807293087.1370465,1597035665.853575,149,MEXC,tether,AEROUSDT,0.619
aeternity,ae,Aeternity,"['Infrastructure', 'Smart Contract Platform']",433099207.5,536306702.0,1767,MEXC,tether,AEUSDT,0.01537
aethir,ath,Aethir,"['Solana Ecosystem', 'Arbitrum Ecosystem', 'Impossible Finance Launchpad', 'Ethereum Ecosystem', 'DePIN', 'Animoca Brands Portfolio']",8479398819.0,42000000000.0,244,MEXC,tether,ATHUSDT,0.02943
aevo-exchange,aevo,Aevo,"['Smart Contract Platform', 'Decentralized Finance (DeFi)', 'Binance Launchpool', 'Derivatives', 'Perpetuals', 'Ethereum Ecosystem', 'Layer 2 (L2)', 'DragonFly Capital Portfolio', 'Pantera Capital Portfolio']",903183559.1604484,1000000000.0,450,BINANCE,tether,AEVOUSDT,0.1007
agenda-47,a47,AGENDA 47,"['Solana Ecosystem', 'Meme', 'Pump.fun Ecosystem']",999991136.8,999991136.8,1020,MEXC,tether,A47USDT,0.028672
agoric,bld,Agoric,"['Smart Contract Platform', 'Layer 1 (L1)', 'Osmosis Ecosystem', 'Proof of Stake (PoS)', 'Cross-chain Communication', 'Archway Ecosystem', 'Secret Ecosystem', 'Outlier Ventures Portfolio', 'Made in USA', 'Chain Abstraction']",676694392.8,1073101297.0,1342,HUOBI,tether,BLDUSDT,0.0193
agora-dollar,ausd,AUSD,"['Stablecoins', 'USD Stablecoin', 'Solana Ecosystem', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'Sui Ecosystem', 'Injective Ecosystem', 'Fiat-backed Stablecoin']",9702710.674,9702710.674,1539,Pharaoh Exchange,usd-coin,AUSDUSDC,
agridex-governance-token,agri,AgriDex,"['Tokenized Assets', 'Solana Ecosystem', 'Real World Assets (RWA)', 'Tokenized Commodities']",160778594.5,1000000000.0,1892,MEXC,tether,AGRIUSDT,0.03261
ai16z,ai16z,ai16z,"['Artificial Intelligence (AI)', 'Solana Ecosystem', 'Meme', 'Solana Meme', 'AI Meme', 'AI Agents', 'Binance Alpha Spotlight', 'AI Framework', 'Made in USA']",1099998648.252437,1099998648.252437,201,MEXC,tether,AI16ZUSDT,0.2619
agixt,agixt,AGiXT,"['Artificial Intelligence (AI)', 'Solana Ecosystem', 'Pump.fun Ecosystem', 'AI Framework']",999999837.4,999999837.4,1731,MEXC,tether,AGIXTUSDT,0.0069
a-hunters-dream,caw,A Hunters Dream,"['SocialFi', 'Ethereum Ecosystem']",636666666666666.0,666666666666666.0,930,MEXC,tether,CAWUSDT,4.1311e-08
ai-analysis-token,aiat,AI Analysis Token,['Ethereum Ecosystem'],110347623.6743895,500000000.0,632,MEXC,tether,AIATUSDT,0.5349
ai-companions,aic,AI Companions,"['BNB Chain Ecosystem', 'Meme', 'AI Meme']",1000000000.0,1000000000.0,303,MEXC,tether,AICUSDT,0.169735
aimonica-brands,aimonica,Aimonica Brands,"['Solana Ecosystem', 'Meme', 'AI Meme', 'Pump.fun Ecosystem', 'Binance Alpha Spotlight', 'daos.fun Ecosystem']",999952275.1,999952275.1,1865,MEXC,tether,AIMONICAUSDT,0.006523
aintivirus,ainti,AIntivirus,"['Solana Ecosystem', 'Meme', 'AI Meme', 'Pump.fun Ecosystem']",999916553.1,999916553.1,955,MEXC,tether,AINTIUSDT,0.03027
aioz-network,aioz,AIOZ Network,"['Artificial Intelligence (AI)', 'Smart Contract Platform', 'Storage', 'BNB Chain Ecosystem', 'Layer 1 (L1)', 'Ethereum Ecosystem', 'DePIN', 'DWF Labs Portfolio', 'Osmosis Ecosystem', 'GMCI DePIN Index', 'GMCI Index']",1172122457.999244,1172784145.029615,155,HUOBI,tether,AIOZUSDT,0.3867
ai-rig-complex,arc,AI Rig Complex,"['Artificial Intelligence (AI)', 'Infrastructure', 'Solana Ecosystem', 'Meme', 'AI Agents', 'Pump.fun Ecosystem', 'AI Agent Launchpad', 'Binance Alpha Spotlight', 'AI Framework']",999994083.2,999994083.2,597,MEXC,tether,ARCUSDT,0.005714
airtor-protocol,anyone,ANyONe Protocol,"['Smart Contract Platform', 'Ethereum Ecosystem', 'DePIN', 'Privacy Blockchain']",79937689.60971649,100000000.0,884,MEXC,tether,ANYONEUSDT,0.3877
aki-protocol,aki,Aki Network,"['Polygon Ecosystem', 'Meme', 'AI Meme']",1686624980.885363,2000000000.0,1177,BYBIT,tether,AKIUSDT,0.010512
aixbt,aixbt,aixbt by Virtuals,"['Solana Ecosystem', 'Meme', 'Base Ecosystem', 'AI Meme', 'AI Agents', 'Virtuals Protocol Ecosystem', 'Binance Alpha Spotlight', 'DeFAI']",855612732.0,1000000000.0,381,BINANCE,tether,AIXBTUSDT,0.1862
alchemist-ai,alch,Alchemist AI,"['Artificial Intelligence (AI)', 'Solana Ecosystem', 'Meme', 'Pump.fun Ecosystem', 'AI Applications', 'Binance Alpha Spotlight']",850000000.0,999985878.6,350,MEXC,tether,ALCHUSDT,0.18011
alchemix-usd,alusd,Alchemix USD,"['Stablecoins', 'Decentralized Finance (DeFi)', 'USD Stablecoin', 'Fantom Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Optimism Ecosystem', 'Algorithmic Stablecoin', 'Fiat-backed Stablecoin']",15731723.33238937,15731723.33238937,1278,Velodrome Finance V2 (Optimism),alchemix-usd,ALUSDALUSD,
alchemix,alcx,Alchemix,"['Decentralized Finance (DeFi)', 'Yield Farming', 'Lending/Borrowing Protocols', 'Near Protocol Ecosystem', 'Olympus Pro Ecosystem', 'Ethereum Ecosystem', 'eGirl Capital Portfolio', 'Alameda Research Portfolio', 'Delphi Ventures Portfolio']",2401556.6915290495,3028858.480337367,1084,BINANCE,tether,ALCXUSDT,8.43
aleo,aleo,ALEO,"['Smart Contract Platform', 'Layer 1 (L1)', 'Zero Knowledge (ZK)', 'Andreessen Horowitz (a16z) Portfolio', 'Privacy Blockchain', 'Made in USA']",363590964.2,1705661789.0,515,MEXC,tether,ALEOUSDT,0.2315
alchemy-pay,ach,Alchemy Pay,"['BNB Chain Ecosystem', 'Ethereum Ecosystem', 'Payment Solutions', 'DWF Labs Portfolio']",4943691067.145604,9999999999.999989,372,BINANCE,tether,ACHUSDT,0.02496
aleph-zero,azero,Aleph Zero,"['Smart Contract Platform', 'Layer 1 (L1)', 'Layer 2 (L2)', 'Zero Knowledge (ZK)', 'Rollup', 'Proof of Stake (PoS)', 'Privacy Blockchain']",302314000.0,520000000.0,680,MEXC,tether,AZEROUSDT,0.1259
alephium,alph,Alephium,"['Smart Contract Platform', 'BNB Chain Ecosystem', 'Layer 1 (L1)', 'Wallets', 'Ethereum Ecosystem', 'Alephium Ecosystem', 'Proof of Work (PoW)']",109424133.2307275,210114557.3896901,831,MEXC,tether,ALPHUSDT,0.3351
alethea-artificial-liquid-intelligence-token,ali,Artificial Liquid Intelligence,"['Artificial Intelligence (AI)', 'NFT', 'Metaverse', 'Solana Ecosystem', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'Cronos Ecosystem', 'Base Ecosystem', 'Multicoin Capital Portfolio', 'AI Agents', 'Alameda Research Portfolio', 'DeFiance Capital Portfolio', 'YZi Labs (Prev. Binance Labs) Portfolio']",8189833601.855413,9870903732.0,648,MEXC,tether,ALIUSDT,0.00599
alexgo,alex,ALEX Lab,"['Decentralized Finance (DeFi)', 'Lending/Borrowing Protocols', 'Ethereum Ecosystem', 'DWF Labs Portfolio', 'Mode Ecosystem', 'Stacks Ecosystem', 'BTCfi']",830599664.7451204,1000000000.0,829,MEXC,tether,ALEXUSDT,0.04183
algorand,algo,Algorand,"['Smart Contract Platform', 'Layer 1 (L1)', 'Algorand Ecosystem', 'Real World Assets (RWA)', 'Alleged SEC Securities', 'DWF Labs Portfolio', 'Multicoin Capital Portfolio', 'Proof of Stake (PoS)', 'GMCI Layer 1 Index', 'GMCI Index', 'Made in USA', 'Coinbase 50 Index']",8591189254.666918,8591189254.666918,60,BINANCE,tether,ALGOUSDT,0.1986
alien-worlds,tlm,Alien Worlds,"['Gaming (GameFi)', 'NFT', 'BNB Chain Ecosystem', 'Binance Launchpool', 'Play To Earn', 'Ethereum Ecosystem', 'Animoca Brands Portfolio', 'Card Games', 'Gaming Governance Token', 'YZi Labs (Prev. Binance Labs) Portfolio', 'Wax Ecosystem', 'MMO']",5792181318.041401,6677571127.0,857,BINANCE,tether,TLMUSDT,0.00489
alkimi,$ads,Alkimi,"['Marketing', 'Ethereum Ecosystem']",192114136.07490656,250000000.0,1119,KUCOIN,tether,$ADSUSDT,
allianceblock-nexera,nxra,Nexera,"['BNB Chain Ecosystem', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'Real World Assets (RWA)']",938335442.0,2000000000.0,1451,MEXC,tether,NXRAUSDT,0.01118
alpaca-finance,alpaca,Alpaca Finance,"['Decentralized Finance (DeFi)', 'Yield Farming', 'BNB Chain Ecosystem', 'Yield Aggregator', 'Lending/Borrowing Protocols', 'Fantom Ecosystem']",150464193.6027096,150464193.6027096,999,MEXC,tether,ALPACAUSDT,0.19082
alpha-fi,alpha,Alpha Fi,['Sui Ecosystem'],8968428.457,10000000.0,1225,Cetus,usd-coin,ALPHAUSDC,
alpha-finance,alpha,Stella,"['Decentralized Finance (DeFi)', 'Yield Farming', 'BNB Chain Ecosystem', 'Binance Launchpool', 'Yield Aggregator', 'Avalanche Ecosystem', 'Ethereum Ecosystem', 'Binance Launchpad', 'Multicoin Capital Portfolio', 'Alameda Research Portfolio', 'DeFiance Capital Portfolio', 'Energi Ecosystem', 'YZi Labs (Prev. Binance Labs) Portfolio', 'Delphi Ventures Portfolio']",922000000.0,1000000000.0,965,BINANCE,tether,ALPHAUSDT,0.0316
alpine-f1-team-fan-token,alpine,Alpine F1 Team Fan Token,"['BNB Chain Ecosystem', 'Binance Launchpad']",11360000.0,40000000.0,1570,BINANCE,tether,ALPINEUSDT,0.772
altered-state-token,asto,Altered State Machine,"['Artificial Intelligence (AI)', 'Gaming (GameFi)', 'NFT', 'Metaverse', 'Ethereum Ecosystem', 'Animoca Brands Portfolio', 'Coinbase Ventures Portfolio', 'Gaming Governance Token', 'Gaming Utility Token', 'AI Agents', 'Delphi Ventures Portfolio', 'AI Applications', 'Outlier Ventures Portfolio']",821193967.2351687,2384000000.0,1598,MEXC,tether,ASTOUSDT,0.011035
altlayer,alt,AltLayer,"['Smart Contract Platform', 'BNB Chain Ecosystem', 'Binance Launchpool', 'Ethereum Ecosystem', 'Layer 2 (L2)', 'Restaking', 'Rollups-as-a-Service (RaaS)', 'Rollup', 'YZi Labs (Prev. Binance Labs) Portfolio']",3273611109.0,10000000000.0,433,BINANCE,tether,ALTUSDT,0.02724
amaterasu-omikami,omikami,AMATERASU OMIKAMI,"['Meme', 'Ethereum Ecosystem', 'Dog-Themed']",999592216.6,999592216.6,1266,UNISWAP,usd-coin,OMIKAMIUSDC,0.02788491
ambire-wallet,wallet,Ambire Wallet,"['Wallets', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'Base Ecosystem', 'Account Abstraction']",689482850.8782297,693599211.5019873,1699,MEXC,tether,WALLETUSDT,0.01078
altura,alu,Altura,"['Artificial Intelligence (AI)', 'Infrastructure', 'Gaming (GameFi)', 'NFT', 'BNB Chain Ecosystem', 'NFT Marketplace', 'Base Ecosystem', 'Gaming Platform', 'Made in USA', 'Gaming Marketplace']",990000000.0,990000000.0,888,MEXC,tether,ALUUSDT,0.02307
american-coin,usa,American Coin,"['Solana Ecosystem', 'Meme', 'Solana Meme', 'Parody Meme', 'Country-Themed Meme', 'Murad Picks']",11627190908142.78,11627190908142.78,1237,MEXC,tether,USAUSDT,1.073e-06
ami,ami,Amnis Finance,"['Decentralized Finance (DeFi)', 'Liquid Staking Governance Tokens', 'Aptos Ecosystem', 'Liquid Staking']",81728768.26998304,1000000000.0,1776,MEXC,tether,AMIUSDT,0.07055
ampleforth,ampl,Ampleforth,"['Decentralized Finance (DeFi)', 'Rebase Tokens', 'BNB Chain Ecosystem', 'Avalanche Ecosystem', 'Near Protocol Ecosystem', 'Harmony Ecosystem', 'Ethereum Ecosystem', 'Pantera Capital Portfolio', 'Energi Ecosystem']",31699641.15053089,36905167.16412475,805,GATEIO,tether,AMPLUSDT,1.1972
amp-token,amp,Amp,"['Decentralized Finance (DeFi)', 'Near Protocol Ecosystem', 'Ethereum Ecosystem', 'Payment Solutions', 'Alleged SEC Securities', 'Pantera Capital Portfolio', 'Energi Ecosystem', 'Made in USA']",84231346590.0,99669205040.0,192,BINANCE,tether,AMPUSDT,0.004061
ancient8,a8,Ancient8,"['Smart Contract Platform', 'Gaming (GameFi)', 'Play To Earn', 'Guild and Scholarship', 'Ethereum Ecosystem', 'Layer 2 (L2)', 'Gaming Blockchains', 'Pantera Capital Portfolio', 'Ancient8 Ecosystem', 'Optimism Superchain Ecosystem']",287855203.7,1000000000.0,787,MEXC,tether,A8USDT,0.13824
anime,anime,Animecoin,"['NFT', 'Meme', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Anime-Themed', 'Binance HODLer Airdrops', 'Airdropped Tokens by NFT Projects']",5538604656.0,10000000000.0,438,BINANCE,tether,ANIMEUSDT,0.01815
ankr,ankr,Ankr Network,"['BNB Chain Ecosystem', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Fantom Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Optimism Ecosystem', 'Liquid Staking Governance Tokens', 'Linea Ecosystem', 'DePIN', 'Scroll Ecosystem', 'Rollups-as-a-Service (RaaS)', 'Blast Ecosystem', 'Mode Ecosystem', 'Pantera Capital Portfolio', 'Polygon zkEVM Ecosystem', 'YZi Labs (Prev. Binance Labs) Portfolio', 'Liquid Staking', 'Made in USA']",10000000000.0,10000000000.0,289,BINANCE,tether,ANKRUSDT,0.01811
ao-computer,ao,ao Computer,"['Artificial Intelligence (AI)', 'Smart Contract Platform', 'DePIN']",3844674.314,3844674.314,677,GATEIO,tether,AOUSDT,13.07
anzen-usdz,usdz,Anzen USDz,"['Stablecoins', 'Ethereum Ecosystem', 'Base Ecosystem', 'Blast Ecosystem', 'Fiat-backed Stablecoin']",127217928.5,127217928.5,408,Aerodrome SlipStream,usd-coin,USDZUSDC,
apecoin,ape,ApeCoin,"['Gaming (GameFi)', 'NFT', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'Animoca Brands Portfolio', 'Gaming Blockchains', 'Gaming Governance Token', 'Gaming Utility Token', 'Andreessen Horowitz (a16z) Portfolio', 'ApeChain Ecosystem', 'Airdropped Tokens by NFT Projects', 'Coinbase 50 Index']",799455492.0,1000000000.0,170,BINANCE,tether,APEUSDT,0.4834
apenft,nft,APENFT,"['NFT', 'BNB Chain Ecosystem', 'Ethereum Ecosystem', 'Tron Ecosystem']",990105682877398.0,999990000000000.0,173,MEXC,tether,NFTUSDT,4.176e-07
apertum,aptm,Apertum,['Avalanche L1'],3632597.79,4648060.324,1849,MEXC,tether,APTMUSDT,1.438
apex-token-2,apex,ApeX,"['Derivatives', 'Perpetuals', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'DragonFly Capital Portfolio']",55811739.0,499999990.0,719,MEXC,tether,APEXUSDT,0.8057
apf-coin,apfc,APF coin,"['Tokenized Real Estate', 'Tokenized Assets', 'Ethereum Ecosystem', 'Real World Assets (RWA)', 'RWA Protocol']",170268683.7504873,250000000.0,415,MEXC,tether,APFCUSDT,0.6679
api3,api3,Api3,"['Decentralized Finance (DeFi)', 'Oracle', 'Ethereum Ecosystem', 'DWF Labs Portfolio', 'Pantera Capital Portfolio']",119996250.8361721,148059152.6138386,469,BINANCE,tether,API3USDT,0.725
apollox-2,apx,APX,"['Decentralized Finance (DeFi)', 'BNB Chain Ecosystem', 'Perpetuals', 'YZi Labs (Prev. Binance Labs) Portfolio', 'Binance Alpha Spotlight']",434585698.4547205,4016263469.0,1062,MEXC,tether,APXUSDT,0.05072
aptos,apt,Aptos,"['Smart Contract Platform', 'Layer 1 (L1)', 'Aptos Ecosystem', 'FTX Holdings', 'Coinbase Ventures Portfolio', 'Multicoin Capital Portfolio', 'Proof of Stake (PoS)', 'DragonFly Capital Portfolio', 'Andreessen Horowitz (a16z) Portfolio', 'YZi Labs (Prev. Binance Labs) Portfolio', 'GMCI Layer 1 Index', 'GMCI 30 Index', 'Circle Ventures Portfolio', 'GMCI Index', 'Made in USA']",619575466.9130298,1150281129.179403,37,BINANCE,tether,APTUSDT,5.071
apu-s-club,apu,Apu Apustaja,"['Meme', 'Ethereum Ecosystem', 'Frog-Themed', 'Murad Picks', 'Binance Alpha Spotlight']",337892157626.5295,337892157626.5295,593,MEXC,tether,APUUSDT,0.0001663
aquarius,aqua,Aquarius,['Stellar Ecosystem'],33718955308.70944,99971232585.0,1032,DigiFinex,tether,AQUAUSDT,
araracoin,arara,Araracoin,"['Charity', 'BNB Chain Ecosystem', 'Meme', 'Regenerative Finance (ReFi)']",36250000000.0,100000000000.0,1493,BitMart,tether,ARARAUSDT,0.0002988
arbdoge-ai,aidoge,ArbDoge AI,"['Meme', 'Arbitrum Ecosystem', 'Dog-Themed', 'DWF Labs Portfolio', 'AI Meme']",1.87998180877789e+17,1.87998183142261e+17,964,MEXC,tether,AIDOGEUSDT,1.5262e-10
arbitrum,arb,Arbitrum,"['Smart Contract Platform', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Arbitrum Nova Ecosystem', 'Layer 2 (L2)', 'eGirl Capital Portfolio', 'Rollup', 'Alameda Research Portfolio', 'Pantera Capital Portfolio', 'GMCI Layer 2 Index', 'GMCI 30 Index', 'GMCI Index', 'Polychain Capital Portfolio', 'Made in USA']",4756695618.0,10000000000.0,68,BINANCE,tether,ARBUSDT,0.3111
arc,arc,Arc,"['Artificial Intelligence (AI)', 'Ethereum Ecosystem']",970093392.3,995100000.0,1761,MEXC,tether,ARCUSDT,0.005713
archway,arch,Archway,"['Smart Contract Platform', 'Layer 1 (L1)', 'Osmosis Ecosystem', 'Blockchain Capital Portfolio']",605456763.7133789,1144408013.383428,1886,MEXC,tether,ARCHUSDT,0.00906
ardor,ardr,Ardor,"['Infrastructure', 'Smart Contract Platform']",998466231.0,998466231.0,415,BINANCE,tether,ARDRUSDT,0.11029
ar-io-network,ario,AR.IO Network,"['Infrastructure', 'Storage', 'DePIN']",351871181.0,1000000000.0,1814,GATEIO,tether,ARIOUSDT,0.01827
ark,ark,ARK,[],188316326.0,188319742.0,513,BINANCE,tether,ARKUSDT,0.4099
arkham,arkm,Arkham,"['Artificial Intelligence (AI)', 'Exchange-based Tokens', 'Analytics', 'Derivatives', 'Perpetuals', 'Centralized Exchange (CEX) Token', 'Ethereum Ecosystem', 'Binance Launchpad', 'Coinbase Ventures Portfolio', 'YZi Labs (Prev. Binance Labs) Portfolio', 'Made in USA']",405847458.0,1000000000.0,251,BINANCE,tether,ARKMUSDT,0.514
arsenal-fan-token,afc,Arsenal Fan Token,"['Sports', 'Fan Token', 'Chiliz Ecosystem']",7429414.0,40000000.0,1864,MEXC,tether,AFCUSDT,0.648
arpa,arpa,ARPA,"['BNB Chain Ecosystem', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'Animoca Brands Portfolio', 'DWF Labs Portfolio', 'YZi Labs (Prev. Binance Labs) Portfolio']",982174603.2857144,1999999999.987738,1008,BINANCE,tether,ARPAUSDT,0.02367
artrade,atr,Artrade,"['NFT', 'Solana Ecosystem', 'NFT Marketplace', 'Real World Assets (RWA)', 'Art']",1260104055.326622,1263995252.891813,1099,MEXC,tether,ATRUSDT,0.019349
artyfact,arty,Artyfact,"['Artificial Intelligence (AI)', 'Gaming (GameFi)', 'NFT', 'BNB Chain Ecosystem', 'Metaverse', 'Shooting Games', 'Gaming Governance Token', 'Action Games']",21492717.99,24858617.0,1870,MEXC,tether,ARTYUSDT,0.2543
arweave,ar,Arweave,"['Artificial Intelligence (AI)', 'Smart Contract Platform', 'Storage', 'Layer 1 (L1)', 'DePIN', 'Coinbase Ventures Portfolio', 'Multicoin Capital Portfolio', 'Andreessen Horowitz (a16z) Portfolio', 'Blockchain Capital Portfolio']",65454185.54,65454185.54,163,BINANCE,tether,ARUSDT,7.05
asd,asd,AscendEx,"['Exchange-based Tokens', 'Centralized Exchange (CEX) Token', 'Ethereum Ecosystem', 'Alameda Research Portfolio']",742983477.9,742983477.9,1193,GATEIO,tether,ASDUSDT,0.02218
astar,astr,Astar,"['Smart Contract Platform', 'Polkadot Ecosystem', 'Layer 1 (L1)', 'Ethereum Ecosystem', 'Layer 2 (L2)', 'Alameda Research Portfolio', 'YZi Labs (Prev. Binance Labs) Portfolio', 'OKX Ventures Portfolio']",7647822625.0,8405557836.0,268,BINANCE,tether,ASTRUSDT,0.02689
astraai,astra,AstraAI,"['Artificial Intelligence (AI)', 'Ethereum Ecosystem', 'Telegram Apps']",10000000.0,10000000.0,1520,MEXC,tether,ASTRAUSDT,0.00212
atlas-navi,navi,Atlas Navi,"['Artificial Intelligence (AI)', 'NFT', 'DaoMaker Launchpad', 'Ethereum Ecosystem']",161706684.0,300000000.0,1876,MEXC,tether,NAVIUSDT,0.0326
atletico-madrid,atm,Atletico Madrid Fan Token,"['Sports', 'Binance Launchpool', 'Fan Token', 'Chiliz Ecosystem', 'YZi Labs (Prev. Binance Labs) Portfolio']",6619396.0,10000000.0,1697,BINANCE,tether,ATMUSDT,1.14
auction,auction,Bounce,"['Decentralized Finance (DeFi)', 'Launchpad', 'Ethereum Ecosystem', 'DWF Labs Portfolio', 'Coinbase Ventures Portfolio', 'Pantera Capital Portfolio', 'Blockchain Capital Portfolio']",6590144.312257191,7640771.312590951,531,BINANCE,tether,AUCTIONUSDT,11.2
audius,audio,Audius,"['Music', 'NFT', 'Ethereum Ecosystem', 'Coinbase Ventures Portfolio', 'Multicoin Capital Portfolio', 'Pantera Capital Portfolio', 'Energi Ecosystem', 'YZi Labs (Prev. Binance Labs) Portfolio']",1318748092.0,1318748092.209687,456,BINANCE,tether,AUDIOUSDT,0.0705
