id,symbol,name,categories,circulation_supply,total_supply,market_cap_rank,exchange,target_coin,crypto_pair,in_tv
aevo-exchange,aevo,Aevo,"['Smart Contract Platform', 'Decentralized Finance (DeFi)', 'Binance Launchpool', 'Derivatives', 'Perpetuals', 'Ethereum Ecosystem', 'Layer 2 (L2)', 'DragonFly Capital Portfolio', 'Pantera Capital Portfolio']",903183559.1604484,1000000000,450,BINANCE,tether,AEVOUSDT,y
agenda-47,a47,AGENDA 47,"['Solana Ecosystem', 'Meme', 'Pump.fun Ecosystem']",999991136.8,999991136.8,1020,MEXC,tether,A47USDT,y
agentfun-ai,agentfun,AgentFun.AI,"['Meme', 'Cronos Ecosystem', 'AI Meme', 'Cronos zkEVM Ecosystem']",100000000,100000000,298,VVS Finance,wrapped-cro,,
ageur,eura,EURA,"['Stablecoins', 'EUR Stablecoin', 'BNB Chain Ecosystem', 'Polygon Ecosystem', 'Gnosis Chain Ecosystem', 'Arbitrum Ecosystem', 'Celo Ecosystem', 'Ethereum Ecosystem', 'Base Ecosystem', 'Crypto-backed Stablecoin']",18897439.79635124,18897439.79635124,1105,Curve (Ethereum),euro-coin,,
agent-ted,ted,Agent Ted,"['Artificial Intelligence (AI)', 'Gambling (GambleFi)', 'Solana Ecosystem', 'AI Agents']",1000000000,1000000000,1831,Raydium (CLMM),wrapped-solana,,
agoric,bld,Agoric,"['Smart Contract Platform', 'Layer 1 (L1)', 'Osmosis Ecosystem', 'Proof of Stake (PoS)', 'Cross-chain Communication', 'Archway Ecosystem', 'Secret Ecosystem', 'Outlier Ventures Portfolio', 'Made in USA', 'Chain Abstraction']",676694392.8,1073101297,1342,HUOBI,tether,BLDUSDT,y
agora-dollar,ausd,AUSD,"['Stablecoins', 'USD Stablecoin', 'Solana Ecosystem', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'Sui Ecosystem', 'Injective Ecosystem', 'Fiat-backed Stablecoin']",9702710.674,9702710.674,1539,Pharaoh Exchange,usd-coin,AUSDUSDC,
agoras-currency-of-tau,agrs,Agoras: Tau Net,"['Artificial Intelligence (AI)', 'Smart Contract Platform', 'Ethereum Ecosystem']",18000000,42000000,1413,UNISWAP3ETH,weth,,
agridex-governance-token,agri,AgriDex,"['Tokenized Assets', 'Solana Ecosystem', 'Real World Assets (RWA)', 'Tokenized Commodities']",160778594.5,1000000000,1892,MEXC,tether,AGRIUSDT,y
ai16z,ai16z,ai16z,"['Artificial Intelligence (AI)', 'Solana Ecosystem', 'Meme', 'Solana Meme', 'AI Meme', 'AI Agents', 'Binance Alpha Spotlight', 'AI Framework', 'Made in USA']",1099998648.252437,1099998648.252437,201,MEXC,tether,AI16ZUSDT,y
agixt,agixt,AGiXT,"['Artificial Intelligence (AI)', 'Solana Ecosystem', 'Pump.fun Ecosystem', 'AI Framework']",999999837.4,999999837.4,1731,MEXC,tether,AGIXTUSDT,y
ahatoken,aht,AhaToken,['Meme'],6348313632,7730764631,982,UPBIT,,,
a-hunters-dream,caw,A Hunters Dream,"['SocialFi', 'Ethereum Ecosystem']",636666666666666.0,666666666666666.0,930,MEXC,tether,CAWUSDT,y
ai-analysis-token,aiat,AI Analysis Token,['Ethereum Ecosystem'],110347623.6743895,500000000,632,MEXC,tether,AIATUSDT,y
ai-companions,aic,AI Companions,"['BNB Chain Ecosystem', 'Meme', 'AI Meme']",1000000000,1000000000,303,MEXC,tether,AICUSDT,y
aimonica-brands,aimonica,Aimonica Brands,"['Solana Ecosystem', 'Meme', 'AI Meme', 'Pump.fun Ecosystem', 'Binance Alpha Spotlight', 'daos.fun Ecosystem']",999952275.1,999952275.1,1865,MEXC,tether,AIMONICAUSDT,y
aintivirus,ainti,AIntivirus,"['Solana Ecosystem', 'Meme', 'AI Meme', 'Pump.fun Ecosystem']",999916553.1,999916553.1,955,MEXC,tether,AINTIUSDT,y
aioz-network,aioz,AIOZ Network,"['Artificial Intelligence (AI)', 'Smart Contract Platform', 'Storage', 'BNB Chain Ecosystem', 'Layer 1 (L1)', 'Ethereum Ecosystem', 'DePIN', 'DWF Labs Portfolio', 'Osmosis Ecosystem', 'GMCI DePIN Index', 'GMCI Index']",1172122457.999244,1172784145.029615,155,HUOBI,tether,AIOZUSDT,y
ai-rig-complex,arc,AI Rig Complex,"['Artificial Intelligence (AI)', 'Infrastructure', 'Solana Ecosystem', 'Meme', 'AI Agents', 'Pump.fun Ecosystem', 'AI Agent Launchpad', 'Binance Alpha Spotlight', 'AI Framework']",999994083.2,999994083.2,597,MEXC,tether,ARCUSDT,y
airswap,ast,AirSwap,"['Decentralized Exchange (DEX)', 'Exchange-based Tokens', 'Decentralized Finance (DeFi)', 'Ethereum Ecosystem']",207669874.1,500000000,1414,Coinbase Exchange,,,
airtor-protocol,anyone,ANyONe Protocol,"['Smart Contract Platform', 'Ethereum Ecosystem', 'DePIN', 'Privacy Blockchain']",79937689.60971649,100000000,884,MEXC,tether,ANYONEUSDT,y
aiveronica,aiv,AIVeronica by Virtuals,"['Artificial Intelligence (AI)', 'Gaming (GameFi)', 'Base Ecosystem', 'AI Agents', 'Virtuals Protocol Ecosystem']",1000000000,1000000000,1901,Uniswap V2 (Base),virtual-protocol,,
akash-network,akt,Akash Network,"['Artificial Intelligence (AI)', 'Smart Contract Platform', 'DePIN', 'Osmosis Ecosystem', 'Proof of Stake (PoS)', 'Archway Ecosystem', 'Made in USA']",247443076.7,248288195.8,204,UPBIT,,,
akio,akio,Akio,"['Solana Ecosystem', 'Meme', 'Solana Meme']",985923595.5,999999076.7,1087,Raydium,wrapped-solana,,
aki-protocol,aki,Aki Network,"['Polygon Ecosystem', 'Meme', 'AI Meme']",1686624980.885363,2000000000,1177,BYBIT,tether,AKIUSDT,y
aixbt,aixbt,aixbt by Virtuals,"['Solana Ecosystem', 'Meme', 'Base Ecosystem', 'AI Meme', 'AI Agents', 'Virtuals Protocol Ecosystem', 'Binance Alpha Spotlight', 'DeFAI']",855612732,1000000000,381,BINANCE,tether,AIXBTUSDT,y
aixcb-by-virtuals,aixcb,aixCB by Virtuals,"['Base Ecosystem', 'AI Agents', 'Virtuals Protocol Ecosystem', 'Binance Alpha Spotlight']",993506898.7058916,993506898.7058916,1248,Uniswap V2 (Base),virtual-protocol,,
alchemist-ai,alch,Alchemist AI,"['Artificial Intelligence (AI)', 'Solana Ecosystem', 'Meme', 'Pump.fun Ecosystem', 'AI Applications', 'Binance Alpha Spotlight']",850000000,999985878.6,350,MEXC,tether,ALCHUSDT,y
alchemix-usd,alusd,Alchemix USD,"['Stablecoins', 'Decentralized Finance (DeFi)', 'USD Stablecoin', 'Fantom Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Optimism Ecosystem', 'Algorithmic Stablecoin', 'Fiat-backed Stablecoin']",15731723.33238937,15731723.33238937,1278,Velodrome Finance V2 (Optimism),alchemix-usd,ALUSDALUSD,
alchemix,alcx,Alchemix,"['Decentralized Finance (DeFi)', 'Yield Farming', 'Lending/Borrowing Protocols', 'Near Protocol Ecosystem', 'Olympus Pro Ecosystem', 'Ethereum Ecosystem', 'eGirl Capital Portfolio', 'Alameda Research Portfolio', 'Delphi Ventures Portfolio']",2401556.6915290495,3028858.480337367,1084,BINANCE,tether,ALCXUSDT,y
aleo,aleo,ALEO,"['Smart Contract Platform', 'Layer 1 (L1)', 'Zero Knowledge (ZK)', 'Andreessen Horowitz (a16z) Portfolio', 'Privacy Blockchain', 'Made in USA']",363590964.2,1705661789,515,MEXC,tether,ALEOUSDT,y
aleph,aleph,Aleph.im,"['Artificial Intelligence (AI)', 'Infrastructure', 'Storage', 'BNB Chain Ecosystem', 'Avalanche Ecosystem', 'Ethereum Ecosystem', 'DePIN', 'Base Ecosystem', 'FTX Holdings', 'Alameda Research Portfolio']",186431941.4102719,500000000,1404,Coinbase Exchange,,,
alchemy-pay,ach,Alchemy Pay,"['BNB Chain Ecosystem', 'Ethereum Ecosystem', 'Payment Solutions', 'DWF Labs Portfolio']",4943691067.145604,9999999999.999989,372,BINANCE,tether,ACHUSDT,y
aleph-zero,azero,Aleph Zero,"['Smart Contract Platform', 'Layer 1 (L1)', 'Layer 2 (L2)', 'Zero Knowledge (ZK)', 'Rollup', 'Proof of Stake (PoS)', 'Privacy Blockchain']",302314000,520000000,680,MEXC,tether,AZEROUSDT,y
alephium,alph,Alephium,"['Smart Contract Platform', 'BNB Chain Ecosystem', 'Layer 1 (L1)', 'Wallets', 'Ethereum Ecosystem', 'Alephium Ecosystem', 'Proof of Work (PoW)']",109424133.2307275,210114557.3896901,831,MEXC,tether,ALPHUSDT,y
alethea-artificial-liquid-intelligence-token,ali,Artificial Liquid Intelligence,"['Artificial Intelligence (AI)', 'NFT', 'Metaverse', 'Solana Ecosystem', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'Cronos Ecosystem', 'Base Ecosystem', 'Multicoin Capital Portfolio', 'AI Agents', 'Alameda Research Portfolio', 'DeFiance Capital Portfolio', 'YZi Labs (Prev. Binance Labs) Portfolio']",8189833601.855413,9870903732,648,MEXC,tether,ALIUSDT,y
alexgo,alex,ALEX Lab,"['Decentralized Finance (DeFi)', 'Lending/Borrowing Protocols', 'Ethereum Ecosystem', 'DWF Labs Portfolio', 'Mode Ecosystem', 'Stacks Ecosystem', 'BTCfi']",830599664.7451204,1000000000,829,MEXC,tether,ALEXUSDT,y
algorand,algo,Algorand,"['Smart Contract Platform', 'Layer 1 (L1)', 'Algorand Ecosystem', 'Real World Assets (RWA)', 'Alleged SEC Securities', 'DWF Labs Portfolio', 'Multicoin Capital Portfolio', 'Proof of Stake (PoS)', 'GMCI Layer 1 Index', 'GMCI Index', 'Made in USA', 'Coinbase 50 Index']",8591189254.666918,8591189254.666918,60,BINANCE,tether,ALGOUSDT,y
alienbase,alb,Alien Base,"['Decentralized Exchange (DEX)', 'Decentralized Finance (DeFi)', 'Base Ecosystem']",166966817.4163125,391392108.7354377,1456,Alien Base,l2-standard-bridged-weth-base,,
alien-worlds,tlm,Alien Worlds,"['Gaming (GameFi)', 'NFT', 'BNB Chain Ecosystem', 'Binance Launchpool', 'Play To Earn', 'Ethereum Ecosystem', 'Animoca Brands Portfolio', 'Card Games', 'Gaming Governance Token', 'YZi Labs (Prev. Binance Labs) Portfolio', 'Wax Ecosystem', 'MMO']",5792181318.041401,6677571127,857,BINANCE,tether,TLMUSDT,y
alkimi,ads,Alkimi,"['Marketing', 'Ethereum Ecosystem']",192114136.07490656,250000000,1119,KUCOIN,tether,ADSUSDT,
allianceblock-nexera,nxra,Nexera,"['BNB Chain Ecosystem', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'Real World Assets (RWA)']",938335442,2000000000,1451,MEXC,tether,NXRAUSDT,y
all-will-retire,awr,All Will Retire,"['Solana Ecosystem', 'Meme', 'Solana Meme', 'Pump.fun Ecosystem']",964672328.5,999672328.5,1905,Raydium,wrapped-solana,,
alpaca-finance,alpaca,Alpaca Finance,"['Decentralized Finance (DeFi)', 'Yield Farming', 'BNB Chain Ecosystem', 'Yield Aggregator', 'Lending/Borrowing Protocols', 'Fantom Ecosystem']",150464193.6027096,150464193.6027096,999,MEXC,tether,ALPACAUSDT,y
alpha-fi,alpha,Alpha Fi,['Sui Ecosystem'],8968428.457,10000000,1225,BINANCE,tether,ALPHAUSDT,
alpha-finance,alpha,Stella,"['Decentralized Finance (DeFi)', 'Yield Farming', 'BNB Chain Ecosystem', 'Binance Launchpool', 'Yield Aggregator', 'Avalanche Ecosystem', 'Ethereum Ecosystem', 'Binance Launchpad', 'Multicoin Capital Portfolio', 'Alameda Research Portfolio', 'DeFiance Capital Portfolio', 'Energi Ecosystem', 'YZi Labs (Prev. Binance Labs) Portfolio', 'Delphi Ventures Portfolio']",922000000,1000000000,965,BINANCE,tether,ALPHAUSDT,y
alpha-quark-token,aqt,Alpha Quark,"['NFT', 'Ethereum Ecosystem', 'NFTFi', 'NFT Lending/Borrowing']",26806201,30000000,881,UPBIT,,,
alpine-f1-team-fan-token,alpine,Alpine F1 Team Fan Token,"['BNB Chain Ecosystem', 'Binance Launchpad']",11360000,40000000,1570,BINANCE,tether,ALPINEUSDT,y
alright-buddy,buddy,alright buddy,"['Meme', 'Hyperliquid Ecosystem', 'HyperEVM Ecosystem']",1000000000,1000000000,1234,HyperSwap V3,wrapped-hype,,
altered-state-token,asto,Altered State Machine,"['Artificial Intelligence (AI)', 'Gaming (GameFi)', 'NFT', 'Metaverse', 'Ethereum Ecosystem', 'Animoca Brands Portfolio', 'Coinbase Ventures Portfolio', 'Gaming Governance Token', 'Gaming Utility Token', 'AI Agents', 'Delphi Ventures Portfolio', 'AI Applications', 'Outlier Ventures Portfolio']",821193967.2351687,2384000000,1598,MEXC,tether,ASTOUSDT,y
altlayer,alt,AltLayer,"['Smart Contract Platform', 'BNB Chain Ecosystem', 'Binance Launchpool', 'Ethereum Ecosystem', 'Layer 2 (L2)', 'Restaking', 'Rollups-as-a-Service (RaaS)', 'Rollup', 'YZi Labs (Prev. Binance Labs) Portfolio']",3273611109,10000000000,433,BINANCE,tether,ALTUSDT,y
amaterasu-omikami,omikami,AMATERASU OMIKAMI,"['Meme', 'Ethereum Ecosystem', 'Dog-Themed']",999592216.6,999592216.6,1266,UNISWAP,usd-coin,OMIKAMIUSDC,y
ambire-wallet,wallet,Ambire Wallet,"['Wallets', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'Base Ecosystem', 'Account Abstraction']",689482850.8782297,693599211.5019873,1699,MEXC,tether,WALLETUSDT,y
altura,alu,Altura,"['Artificial Intelligence (AI)', 'Infrastructure', 'Gaming (GameFi)', 'NFT', 'BNB Chain Ecosystem', 'NFT Marketplace', 'Base Ecosystem', 'Gaming Platform', 'Made in USA', 'Gaming Marketplace']",990000000,990000000,888,MEXC,tether,ALUUSDT,y
american-coin,usa,American Coin,"['Solana Ecosystem', 'Meme', 'Solana Meme', 'Parody Meme', 'Country-Themed Meme', 'Murad Picks']",11627190908142.78,11627190908142.78,1237,MEXC,tether,USAUSDT,y
ami,ami,Amnis Finance,"['Decentralized Finance (DeFi)', 'Liquid Staking Governance Tokens', 'Aptos Ecosystem', 'Liquid Staking']",81728768.26998304,1000000000,1776,MEXC,tether,AMIUSDT,y
amo,amo,AMO Coin,"['Big Data', 'Kaia Ecosystem']",21200000000,21200000000,1350,BITHUMB,,,
amnis-aptos,amapt,Amnis Aptos,"['Liquid Staking Tokens', 'Aptos Ecosystem', 'Liquid Staking']",25203628.72,25208967.93,361,LiquidSwap V0.5,aptos,,
ampleforth-governance-token,forth,Ampleforth Governance,"['Ethereum Ecosystem', 'Stablecoin Protocol']",11454225.790723708,15297897.14455933,898,Coinbase Exchange,,,
ampleforth,ampl,Ampleforth,"['Decentralized Finance (DeFi)', 'Rebase Tokens', 'BNB Chain Ecosystem', 'Avalanche Ecosystem', 'Near Protocol Ecosystem', 'Harmony Ecosystem', 'Ethereum Ecosystem', 'Pantera Capital Portfolio', 'Energi Ecosystem']",31699641.15053089,36905167.16412475,805,GATEIO,tether,AMPLUSDT,y
amp-token,amp,Amp,"['Decentralized Finance (DeFi)', 'Near Protocol Ecosystem', 'Ethereum Ecosystem', 'Payment Solutions', 'Alleged SEC Securities', 'Pantera Capital Portfolio', 'Energi Ecosystem', 'Made in USA']",84231346590,99669205040,192,BINANCE,tether,AMPUSDT,y
amnis-staked-aptos-coin,stapt,Amnis Staked Aptos Coin,"['Liquid Staking Tokens', 'Aptos Ecosystem', 'Liquid Staking', 'Liquid Staked APT\t']",2016038.3,2016038.3,1391,LiquidSwap V0.5,aptos,,
ancient8,a8,Ancient8,"['Smart Contract Platform', 'Gaming (GameFi)', 'Play To Earn', 'Guild and Scholarship', 'Ethereum Ecosystem', 'Layer 2 (L2)', 'Gaming Blockchains', 'Pantera Capital Portfolio', 'Ancient8 Ecosystem', 'Optimism Superchain Ecosystem']",287855203.7,1000000000,787,MEXC,tether,A8USDT,y
andy-the-wisguy,andy,ANDY ETH,"['Meme', 'Ethereum Ecosystem', 'The Boy’s Club']",1E+12,1E+12,521,Uniswap v2 (Ethereum),weth,,
anime,anime,Animecoin,"['NFT', 'Meme', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Anime-Themed', 'Binance HODLer Airdrops', 'Airdropped Tokens by NFT Projects']",5538604656,10000000000,438,BINANCE,tether,ANIMEUSDT,y
ankr,ankr,Ankr Network,"['BNB Chain Ecosystem', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Fantom Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Optimism Ecosystem', 'Liquid Staking Governance Tokens', 'Linea Ecosystem', 'DePIN', 'Scroll Ecosystem', 'Rollups-as-a-Service (RaaS)', 'Blast Ecosystem', 'Mode Ecosystem', 'Pantera Capital Portfolio', 'Polygon zkEVM Ecosystem', 'YZi Labs (Prev. Binance Labs) Portfolio', 'Liquid Staking', 'Made in USA']",10000000000,10000000000,289,BINANCE,tether,ANKRUSDT,y
ankreth,ankreth,Ankr Staked ETH,"['BNB Chain Ecosystem', 'Avalanche Ecosystem', 'Fantom Ecosystem', 'Arbitrum Ecosystem', 'Liquid Staking Tokens', 'Ethereum Ecosystem', 'Optimism Ecosystem', 'Linea Ecosystem', 'Scroll Ecosystem', 'Blast Ecosystem', 'Mode Ecosystem', 'Polygon zkEVM Ecosystem', 'Liquid Staked ETH', 'Liquid Staking']",10582.70853559123,10582.70853559123,1082,THENA FUSION,binance-peg-weth,,
anvil,anvl,Anvil,"['Decentralized Finance (DeFi)', 'Ethereum Ecosystem']",18942999350.13549,98667066238.80087,769,Uniswap v2 (Ethereum),weth,,
ao-computer,ao,ao Computer,"['Artificial Intelligence (AI)', 'Smart Contract Platform', 'DePIN']",3844674.314,3844674.314,677,GATEIO,tether,AOUSDT,y
anzen-usdz,usdz,Anzen USDz,"['Stablecoins', 'Ethereum Ecosystem', 'Base Ecosystem', 'Blast Ecosystem', 'Fiat-backed Stablecoin']",127217928.5,127217928.5,408,Aerodrome SlipStream,usd-coin,USDZUSDC,
apecoin,ape,ApeCoin,"['Gaming (GameFi)', 'NFT', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'Animoca Brands Portfolio', 'Gaming Blockchains', 'Gaming Governance Token', 'Gaming Utility Token', 'Andreessen Horowitz (a16z) Portfolio', 'ApeChain Ecosystem', 'Airdropped Tokens by NFT Projects', 'Coinbase 50 Index']",799455492,1000000000,170,BINANCE,tether,APEUSDT,y
apenft,nft,APENFT,"['NFT', 'BNB Chain Ecosystem', 'Ethereum Ecosystem', 'Tron Ecosystem']",990105682877398.0,999990000000000.0,173,MEXC,tether,NFTUSDT,y
apertum,aptm,Apertum,['Avalanche L1'],3632597.79,4648060.324,1849,MEXC,tether,APTMUSDT,y
apex-token-2,apex,ApeX,"['Derivatives', 'Perpetuals', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'DragonFly Capital Portfolio']",55811739,499999990,719,MEXC,tether,APEXUSDT,y
apf-coin,apfc,APF coin,"['Tokenized Real Estate', 'Tokenized Assets', 'Ethereum Ecosystem', 'Real World Assets (RWA)', 'RWA Protocol']",170268683.7504873,250000000,415,MEXC,tether,APFCUSDT,y
api3,api3,Api3,"['Decentralized Finance (DeFi)', 'Oracle', 'Ethereum Ecosystem', 'DWF Labs Portfolio', 'Pantera Capital Portfolio']",119996250.8361721,148059152.6138386,469,BINANCE,tether,API3USDT,y
apollo-diversified-credit-securitize-fund,acred,Apollo Diversified Credit Securitize Fund,"['Solana Ecosystem', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'Aptos Ecosystem', 'Real World Assets (RWA)', 'Ink Ecosystem']",68640.14653,68640.14653,569,,,,
apollox-2,apx,APX,"['Decentralized Finance (DeFi)', 'BNB Chain Ecosystem', 'Perpetuals', 'YZi Labs (Prev. Binance Labs) Portfolio', 'Binance Alpha Spotlight']",434585698.4547205,4016263469,1062,MEXC,tether,APXUSDT,y
